Round,Opponent,Result,Venue,GF,GA,xG,xGA,Poss,Avg_GF,Avg_GA,Avg_xG,Avg_xGA,Avg_Poss,Label,Form_Score
12,Aston Villa,L,Away,1,3,0.9,3.0,49,0.3333333333333333,1.3333333333333333,0.9,1.2,39.666666666666664,-1,5.222222222222222
12,Brentford,W,Home,3,0,1.7,1.6,58,2.0,0.3333333333333333,2.6666666666666665,0.43333333333333335,74.0,1,7.666666666666667
12,Manchester Utd,L,Away,0,1,0.4,2.2,36,1.3333333333333333,2.0,1.0,2.5999999999999996,33.333333333333336,-1,5.777777777777777
12,Chelsea,D,Away,4,4,2.9,2.9,55,3.6666666666666665,0.6666666666666666,2.233333333333334,0.8666666666666667,60.0,0,8.0
12,Luton Town,W,Home,1,0,2.2,0.4,64,1.0,1.3333333333333333,0.8999999999999999,2.1333333333333333,52.333333333333336,1,7.555555555555555
12,Bournemouth,L,Away,0,2,0.5,2.4,52,2.3333333333333335,0.6666666666666666,1.8666666666666665,0.8999999999999998,52.666666666666664,-1,8.666666666666668
12,West Ham,L,Away,2,3,1.7,1.8,46,1.3333333333333333,1.6666666666666667,1.2333333333333334,2.0333333333333337,37.333333333333336,-1,6.777777777777779
12,Brighton,D,Away,1,1,1.1,1.5,39,1.0,2.6666666666666665,0.7999999999999998,1.7,36.666666666666664,0,5.111111111111111
12,Wolves,L,Away,1,2,0.7,2.1,58,1.6666666666666667,1.6666666666666667,1.1666666666666667,1.8999999999999997,56.666666666666664,-1,8.222222222222221
12,Nott'ham Forest,W,Home,3,2,1.8,1.7,54,1.0,2.6666666666666665,1.2,1.4000000000000001,49.333333333333336,1,4.777777777777778
12,Tottenham,W,Home,2,1,2.1,0.7,42,1.6666666666666667,1.6666666666666667,1.5,1.2666666666666668,56.333333333333336,1,6.888888888888889
13,Brentford,W,Away,1,0,1.6,1.1,63,2.6666666666666665,0.6666666666666666,1.7333333333333332,0.43333333333333335,62.666666666666664,1,7.888888888888888
13,Tottenham,W,Away,2,1,1.7,2.3,38,2.0,1.3333333333333333,2.1666666666666665,0.6,64.66666666666667,1,8.0
13,Sheffield Utd,W,Away,3,1,2.9,0.8,54,1.6666666666666667,2.3333333333333335,1.4666666666666668,1.0666666666666667,42.666666666666664,1,6.444444444444445
13,Arsenal,L,Home,0,1,1.1,1.6,37,1.6666666666666667,1.6666666666666667,1.7666666666666668,1.7999999999999998,44.0,-1,7.333333333333333
13,Nott'ham Forest,W,Away,3,2,1.3,1.9,53,1.0,1.0,1.133333333333333,0.8333333333333334,70.33333333333333,1,6.111111111111112
13,West Ham,L,Home,1,2,1.3,0.9,50,0.6666666666666666,2.3333333333333335,0.7333333333333334,1.4000000000000004,53.0,-1,3.333333333333333
13,Newcastle Utd,L,Away,1,4,0.5,2.4,46,2.6666666666666665,2.3333333333333335,2.966666666666667,2.0,57.666666666666664,-1,7.222222222222222
13,Luton Town,L,Away,1,2,1.6,0.9,61,1.6666666666666667,1.6666666666666667,1.3666666666666665,1.2333333333333334,41.666666666666664,-1,5.333333333333333
13,Manchester Utd,L,Home,0,3,2.4,2.2,51,1.6666666666666667,1.0,1.0,1.1333333333333335,30.0,-1,8.11111111111111
13,Wolves,W,Home,3,2,2.9,1.4,60,0.6666666666666666,1.6666666666666667,0.8666666666666667,1.7,41.0,1,4.888888888888888
13,Manchester City,D,Away,1,1,0.6,1.3,41,2.3333333333333335,0.3333333333333333,2.5000000000000004,0.9333333333333332,67.66666666666667,0,8.777777777777779
13,Crystal Palace,W,Home,2,1,0.9,1.6,39,0.6666666666666666,1.6666666666666667,0.5666666666666668,2.3666666666666667,31.0,1,4.666666666666667
13,Liverpool,D,Home,1,1,1.3,0.6,59,4.333333333333333,1.6666666666666667,2.9333333333333336,1.5666666666666667,60.0,0,8.222222222222221
13,Everton,W,Away,3,0,2.2,2.4,49,0.6666666666666666,1.0,1.2666666666666666,1.8000000000000005,53.0,1,8.666666666666668
13,Chelsea,W,Home,4,1,2.4,0.5,54,1.0,1.3333333333333333,1.2333333333333334,1.3,50.333333333333336,1,7.111111111111112
13,Brighton,L,Home,2,3,1.9,1.3,47,1.3333333333333333,2.0,0.8333333333333334,2.066666666666667,33.666666666666664,-1,5.888888888888889
