,Round_home,Team_home,Opponent_home,Result_home,Venue_home,GF_home,GA_home,xG_home,xGA_home,Poss_home,Avg_GF_home,Avg_GA_home,Avg_xG_home,Avg_xGA_home,Avg_Poss_home,Label_home,Form_home,Opponent_Match_ID,Round_away,Team_away,Opponent_away,Result_away,Venue_away,GF_away,GA_away,xG_away,xGA_away,Poss_away,Avg_GF_away,Avg_GA_away,Avg_xG_away,Avg_xGA_away,Avg_Poss_away,Label_away,Form_away,Match_ID,Label
13-Everton-Manchester-United,13,Everton,Manchester-United,L,Home,0,3,2.4,2.2,51,1.6666666666666667,1.0,1.0,1.1333333333333335,30.0,-1,8.88888888888889,13-Manchester-United-Everton,13,Manchester-United,Everton,W,Away,3,0,2.2,2.4,49,0.6666666666666666,1.0,1.2666666666666666,1.8000000000000005,53.0,1,8.222222222222221,13-Manchester-United-Everton,-1
13-Fulham-Wolverhampton-Wanderers,13,Fulham,Wolverhampton-Wanderers,W,Home,3,2,2.9,1.4,60,0.6666666666666666,1.6666666666666667,0.8666666666666667,1.7,41.0,1,4.222222222222222,13-Wolverhampton-Wanderers-Fulham,13,Wolverhampton-Wanderers,Fulham,L,Away,2,3,1.4,2.9,40,1.6666666666666667,1.6666666666666667,1.4000000000000001,1.3,48.666666666666664,-1,6.888888888888889,13-Wolverhampton-Wanderers-Fulham,1
13-Luton-Town-Crystal-Palace,13,Luton-Town,Crystal-Palace,W,Home,2,1,0.9,1.6,39,0.6666666666666666,1.6666666666666667,0.5666666666666668,2.3666666666666667,31.0,1,4.444444444444445,13-Crystal-Palace-Luton-Town,13,Crystal-Palace,Luton-Town,L,Away,1,2,1.6,0.9,61,1.6666666666666667,1.6666666666666667,1.3666666666666665,1.2333333333333334,41.666666666666664,-1,5.555555555555555,13-Crystal-Palace-Luton-Town,1
13-Manchester-City-Liverpool,13,Manchester-City,Liverpool,D,Home,1,1,1.3,0.6,59,4.333333333333333,1.6666666666666667,2.9333333333333336,1.5666666666666667,60.0,0,8.666666666666668,13-Liverpool-Manchester-City,13,Liverpool,Manchester-City,D,Away,1,1,0.6,1.3,41,2.3333333333333335,0.3333333333333333,2.5000000000000004,0.9333333333333332,67.66666666666667,0,8.88888888888889,13-Liverpool-Manchester-City,0
13-Newcastle-United-Chelsea,13,Newcastle-United,Chelsea,W,Home,4,1,2.4,0.5,54,1.0,1.3333333333333333,1.2333333333333334,1.3,50.333333333333336,1,6.444444444444445,13-Chelsea-Newcastle-United,13,Chelsea,Newcastle-United,L,Away,1,4,0.5,2.4,46,2.6666666666666665,2.3333333333333335,2.966666666666667,2.0,57.666666666666664,-1,6.888888888888889,13-Chelsea-Newcastle-United,1
13-Nottingham-Forest-Brighton-and-Hove-Albion,13,Nottingham-Forest,Brighton-and-Hove-Albion,L,Home,2,3,1.9,1.3,47,1.3333333333333333,2.0,0.8333333333333334,2.066666666666667,33.666666666666664,-1,5.555555555555555,13-Brighton-and-Hove-Albion-Nottingham-Forest,13,Brighton-and-Hove-Albion,Nottingham-Forest,W,Away,3,2,1.3,1.9,53,1.0,1.0,1.133333333333333,0.8333333333333334,70.33333333333333,1,6.666666666666666,13-Brighton-and-Hove-Albion-Nottingham-Forest,-1
13-Sheffield-United-Bournemouth,13,Sheffield-United,Bournemouth,L,Home,1,3,0.8,2.9,46,1.0,2.3333333333333335,0.6999999999999998,1.8333333333333333,37.0,-1,6.888888888888889,13-Bournemouth-Sheffield-United,13,Bournemouth,Sheffield-United,W,Away,3,1,2.9,0.8,54,1.6666666666666667,2.3333333333333335,1.4666666666666668,1.0666666666666667,42.666666666666664,1,7.777777777777778,13-Bournemouth-Sheffield-United,-1
14-Arsenal-Wolverhampton-Wanderers,14,Arsenal,Wolverhampton-Wanderers,W,Home,2,1,2.8,0.7,57,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.8000000000000002,61.333333333333336,1,8.222222222222221,14-Wolverhampton-Wanderers-Arsenal,14,Wolverhampton-Wanderers,Arsenal,L,Away,1,2,0.7,2.8,43,1.6666666666666667,2.0,1.5666666666666667,1.5333333333333332,47.666666666666664,-1,5.555555555555555,14-Wolverhampton-Wanderers-Arsenal,1
14-Bournemouth-Aston-Villa,14,Bournemouth,Aston-Villa,D,Home,2,2,2.0,0.7,38,2.0,2.3333333333333335,2.066666666666667,1.0666666666666669,45.666666666666664,0,8.222222222222221,14-Aston-Villa-Bournemouth,14,Aston-Villa,Bournemouth,D,Away,2,2,0.7,2.0,62,1.6666666666666667,1.3333333333333333,1.9666666666666666,1.2,54.0,0,8.222222222222221,14-Aston-Villa-Bournemouth,0
14-Brentford-Luton-Town,14,Brentford,Luton-Town,W,Home,3,1,3.1,0.2,68,1.0,2.0,1.4000000000000001,1.7,45.666666666666664,1,5.111111111111111,14-Luton-Town-Brentford,14,Luton-Town,Brentford,L,Away,1,3,0.2,3.1,32,1.0,1.0,0.7000000000000001,2.1333333333333333,34.0,-1,6.888888888888889,14-Luton-Town-Brentford,1
